TIME,CP3,C3,F5,PO3,PO4,F6,C4,CP4
38,-2753.841625103985,4222.23142789138,954.8008513760061,-2286.30707075837,-1936.113392960201,21467.601046404216,13570.955153695737,7784.271639298164
39,-2635.2556613733514,4059.8961744517237,927.305860827356,-2188.7630418209774,-1848.6884092783475,20602.39248752036,13023.059107680108,7476.035268178987
40,-2512.024945625789,3879.5915533128514,888.7394417356807,-2085.6640608830135,-1760.0128655978956,19669.68432417057,12429.83802563668,7143.864096242154
41,-2380.0052596842615,3702.1656859828367,861.6623234043032,-1976.7375529100445,-1665.7596616564065,18699.69130221024,11814.91436127829,6791.901086109172
42,-2241.099881554573,3518.492251904316,837.2660059728096,-1864.7219802327536,-1569.0894306632538,17690.66364580986,11176.235834234447,6423.169734640454
43,-2101.8827328824536,3316.478963715286,801.3359118440322,-1754.6335102114008,-1477.3910424088444,16635.463993200094,10505.72912068664,6039.072844131341
44,-1959.621588726613,3111.5311471761443,767.2168749055493,-1643.3804842994973,-1383.9465747073054,15555.314391511409,9819.260721798411,5643.838092399792
45,-1811.910764992025,2904.0728000088284,733.6022999665091,-1527.0584317010669,-1284.3906464449424,14455.768773813686,9121.767182588213,5241.227662239829
46,-1665.3836312704138,2677.4426215062254,682.2804526568541,-1409.5317678958208,-1188.1650856028723,13323.511834798059,8401.742119153303,4831.202317098503
47,-1520.9153184062434,2444.993585717001,626.2614718755835,-1292.097318250344,-1094.4715754320646,12175.314323948453,7671.816940508818,4414.762216736171
48,-1373.0667452164598,2223.3254849155223,582.4070343554847,-1171.288053647465,-993.3019224633258,11030.98893839023,6948.76257356938,3995.1690951755536
49,-1224.9443566198522,1996.487956049532,534.1843222374943,-1049.1762930409582,-888.7533364527633,9876.963614249442,6220.92725762139,3573.845406955721
50,-1080.4928289973589,1760.9995006922595,476.9606839718151,-928.3094770108457,-785.7890690038096,8713.011167269911,5485.405915476805,3152.1146718078944
51,-934.8325710090392,1535.7787001455554,428.73887251830445,-804.6928887075445,-677.0750289834505,7562.411821809774,4760.063644585915,2733.8228037739486
52,-788.3034491950532,1313.8292164723962,380.9357296772614,-678.1612925415901,-564.4252611111863,6420.891238095546,4041.698819734835,2320.975526453307
53,-647.6793702239288,1083.1471283118399,319.3292933518945,-554.6677561807102,-457.9670794019097,5277.801971033874,3320.461534816217,1912.7233270319784
54,-509.96290740272553,863.2824726118006,263.5121760574408,-435.1245907384275,-354.3907008102874,4156.891529095987,2614.399978493443,1510.671149945983
55,-369.8123740445834,661.5349895216203,223.19365719585306,-318.1731440035876,-250.01111009160616,3072.1099072375087,1934.508011168738,1117.7216597964036
56,-232.45725266437324,457.83879832918956,179.8664977198476,-207.52340093923513,-154.66231901984767,2008.5589343591284,1266.9922603025072,733.6733038620387
57,-100.46018812975423,255.2395005474762,136.9216985261104,-103.30987636110227,-69.1185400476267,972.8068922099338,615.12935041122,358.6042135237946
58,30.503681260565493,68.0656569434903,108.22904317816321,0.7283442137424387,18.04887637461229,-19.210282806261944,-7.9458684921792155,-5.28095728155111
59,156.87698667828678,-118.32202958451225,76.739452911709,105.27907259257468,105.6793135309482,-983.5651401749676,-615.0577380895796,-358.24063925128166
60,273.719211563142,-310.4083403832342,33.338013611429815,206.6348559705154,187.98480012168585,-1927.608478291499,-1213.567985642795,-701.4808383614685
61,387.5027555023011,-486.38010453947254,-0.7635508477586583,306.5352088934122,272.20544063150646,-2827.479770980073,-1784.001452394435,-1032.5210336600235
62,501.8749790648266,-645.6342569551375,-25.280556605169036,404.9732337032177,359.4185243128213,-3680.9994826474513,-2323.1485451861017,-1349.169447698519
63,610.2706105874843,-803.8121316305255,-56.93713867782892,495.40208811788466,438.6836077220082,-4503.886413759772,-2844.3407781259766,-1652.6951193488092
64,711.5675514996128,-950.4890649408031,-85.47108320170453,576.8233192141483,510.847842479062,-5285.266641943981,-3339.5861045587485,-1943.1019910018472
65,808.5266312067796,-1081.5801418214992,-105.71267913412147,653.1315232460784,580.8295677437375,-6019.53464568329,-3803.374678447498,-2218.7781292782074
66,896.0227151584786,-1219.7224036898413,-139.45094802610865,723.0777140893952,640.2301547502797,-6727.644152251768,-4252.619168321518,-2480.3741441878046
67,972.7766202880779,-1362.59856440059,-184.1697593782059,787.6274960120222,688.4021972242249,-7405.680799261943,-4684.608163429475,-2727.4164351788345
