TIME,CP3,C3,F5,PO3,PO4,F6,C4,CP4
18,-1586.8607666506846,451.5789441796086,27.02876079841827,774.3272105441642,-1017.6001984147753,13265.606659059928,21012.375864226477,-1651.713068761897
19,-1963.2574481929782,510.42281886480885,-35.280474142087236,813.9347970830627,-1321.6125059983237,15949.276651869131,25355.450140499604,-2080.7299128911604
20,-2323.458161931557,505.48219497581266,-151.11611064977225,808.7724837225708,-1645.0530787240803,18355.087918378827,29267.68166994852,-2502.7612175158242
21,-2637.9893115821765,455.57522131829637,-292.2309118232864,787.2552326801738,-1944.2236857596665,20371.239480187694,32554.463173244847,-2876.002042505681
22,-2904.1849743237826,392.0340588743071,-429.1256711340651,756.6684090557483,-2203.0990286289416,22018.8785269086,35246.792066650734,-3197.154558121816
23,-3123.396515398751,367.18067610220334,-514.9145655613779,739.6621999907588,-2400.7253461486252,23414.3497750092,37517.65759672719,-3460.740441395378
24,-3301.349886806145,376.7829714221242,-561.249405240427,739.8841140198227,-2547.5263335051095,24610.750368636203,39461.04935244702,-3676.6223294871006
25,-3451.1714029612776,371.12458366782084,-623.6072949748756,731.8317021793791,-2684.9874466831147,25579.973104060984,41054.46691220126,-3870.582926425517
26,-3572.3088807116883,355.0120160800042,-691.9637263846992,720.9745527898228,-2811.897861823631,26333.28804215612,42297.39007417741,-4029.9447687485294
27,-3656.8564439625234,352.4395167289535,-733.3241040599322,725.8054908077178,-2904.5907045750146,26901.419473628594,43215.94954984989,-4129.822198498201
28,-3713.8843414530916,339.3374957488691,-771.993240444084,722.8135295637001,-2978.5115021351894,27264.482842223617,43803.82329285522,-4192.053732436124
29,-3753.5668057308203,313.25339501018357,-814.6376940604785,694.3662098575129,-3041.3941663197083,27424.40183182723,44087.602430491475,-4241.553653608396
30,-3769.796136839704,310.2277682997314,-827.0264404491405,663.9165149786709,-3067.004189269872,27427.9950031788,44133.37113223704,-4269.240508729414
31,-3761.777809597337,317.47192997203035,-826.1697373128027,635.6496315580087,-3062.967544145916,27278.349151820825,43948.55489751203,-4278.556711425909
32,-3737.4164120106993,304.1748220685201,-846.3562170335847,592.7214829922945,-3060.4132205104193,26965.771305240014,43517.45834119408,-4280.364447360269
33,-3692.428582192559,292.32904060031615,-861.7251497280063,551.295898677477,-3048.7818582303744,26536.64597206719,42880.67370099123,-4251.4131912577195
